batman	666	0
666	batman	0
666	billy batson	0
666	blackhawk	0
666	captain comet	0
666	superman	0
666	wonder woman	0
batman	abattoir	0
abattoir	batman	0
abattoir	clayface (cassius payne)	0
abattoir	dick grayson	0
abattoir	jean-paul valley	0
abattoir	nekron	0
batman	able crown	0
able crown	batman	0
able crown	crispus allen	0
able crown	ekin tzu	0
able crown	harvey bullock	0
able crown	james gordon	0
able crown	kyle abbot	0
able crown	mackenzie bock	0
able crown	renee montoya	0
able crown	whisper a'daire	0
batman	abner	0
abner	batman	0
abner	carrie kelley	0
abner	martian manhunter	0
abner	superman	0
abner	wonder woman	0
abner	bruno	1
abner	joker	1
batman	abraham langstrom	0
abraham langstrom	batman	0
abraham langstrom	man-bat	1
abraham langstrom	talia al ghul	1
batman	ace	0
ace	aquaman	0
ace	barry allen	0
ace	batman	0
ace	billy batson	0
ace	black canary	0
ace	bobo bennetti	0
ace	booster gold	0
ace	green arrow	0
ace	guy gardner	0
ace	hal jordan	0
ace	hawkman	0
ace	lobo	0
ace	martian manhunter	0
ace	mr. miracle	0
ace	raven	0
ace	ray palmer	0
ace	ted kord	0
ace	terry mcginnis	0
ace	jack	1
ace	king	1
ace	power girl	1
ace	queen	1
ace	six	1
ace	ten	1
batman	actuary	0
actuary	batman	0
actuary	penguin	1
batman	adam bomb	0
adam bomb	batman	0
adam bomb	black mask	1
adam bomb	firefly	1
adam bomb	great white shark	1
adam bomb	jane doe	1
adam bomb	mr. zsasz	1
batman	agent orange	0
agent orange	batman	0
agent orange	black lightning	0
agent orange	geo-force	0
agent orange	halo	0
agent orange	katana	0
agent orange	metamorpho	0
batman	aku kwesi	0
aku kwesi	batman	0
aku kwesi	black canary	0
aku kwesi	black lightning	0
aku kwesi	connor hawke	0
aku kwesi	superman	0
aku kwesi	vixen	0
batman	albert michaels	0
albert michaels	aqualad	0
albert michaels	artemis crock	0
albert michaels	barbara gordon	0
albert michaels	barry allen	0
albert michaels	batman	0
albert michaels	captain atom	0
albert michaels	dick grayson	0
albert michaels	firestorm	0
albert michaels	huntress (bertinelli)	0
albert michaels	lightning	0
albert michaels	miss martian	0
